,target,parameter,accuracy,standard_deviation
0,target_original,1,0.9714999999999999,0.009500000000000008
1,target_original,2,0.9770000000000002,0.009539392014169465
2,target_original,3,0.9784999999999999,0.008958236433584467
3,target_original,4,0.9784999999999999,0.010735455276791954
4,target_original,5,0.9795000000000001,0.00934077084613471
5,target_original,6,0.9799999999999999,0.008062257748298558
6,target_original,7,0.9775,0.007826237921249271
7,target_original,8,0.9775,0.007826237921249271
8,target_original,9,0.9780000000000001,0.006782329983125274
9,target_partition8,1,0.7375,0.021592822881689202
10,target_partition8,2,0.7715000000000001,0.016286497474902347
11,target_partition8,3,0.7835,0.018172781845386246
12,target_partition8,4,0.7835,0.021100947846009178
13,target_partition8,5,0.7785,0.018034688796871427
14,target_partition8,6,0.7844999999999999,0.022632940595512536
15,target_partition8,7,0.7915000000000001,0.013047988350699877
16,target_partition8,8,0.7925,0.017923448328934912
17,target_partition8,9,0.782,0.017776388834631167
18,target_partition9,1,0.747,0.03340658617698013
19,target_partition9,2,0.7755000000000001,0.025144581921360314
20,target_partition9,3,0.8025,0.025421447637772307
21,target_partition9,4,0.7965000000000001,0.02156965461012298
22,target_partition9,5,0.7979999999999998,0.02238302928559938
23,target_partition9,6,0.8000000000000002,0.021908902300206628
24,target_partition9,7,0.8014999999999999,0.027572631357924465
25,target_partition9,8,0.7964999999999999,0.03130894440890653
26,target_partition9,9,0.8029999999999999,0.030265491900843097
27,target_partition10,1,0.7014999999999999,0.03286715685908957
28,target_partition10,2,0.7349999999999999,0.019748417658131515
29,target_partition10,3,0.7384999999999999,0.022028390771910707
30,target_partition10,4,0.7509999999999999,0.0202237484161567
31,target_partition10,5,0.7440000000000001,0.023537204591879635
32,target_partition10,6,0.7470000000000002,0.028999999999999998
33,target_partition10,7,0.7525,0.026949025956423754
34,target_partition10,8,0.7515,0.02470323865407127
35,target_partition10,9,0.7530000000000001,0.02821347195933179
